DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,DE,2018,2055752,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,DE,2019,2094663,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,DE,2020,2028212,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,DE,2021,2102304,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2012,160535,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2013,158208,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2014,158468,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2015,158241,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2016,157372,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2017,163578,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2018,167138,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2019,170990,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2020,156667,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2021,171511,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2012,738158,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2013,731292,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2014,752823,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2015,783220,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2016,800797,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2017,842152,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2018,858829,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2019,881510,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2020,791616,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2021,847124,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2012,1306650,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2013,1349472,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2014,1361998,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2015,1383864,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2016,1414223,
